metric_name,timestamp,metric_value,check,error,error_code,expected_response,group,method,name,proto,scenario,service,status,subproto,tls_version,url,extra_tags,metadata
http_req_sending,1786861850,0.073000,,,,true,,POST,login,HTTP/1.1,default,,200,,,login,,
http_req_waiting,1786861850,5.005000,,,,true,,POST,login,HTTP/1.1,default,,200,,,login,,
http_req_receiving,1786861850,0.107000,,,,true,,POST,login,HTTP/1.1,default,,200,,,login,,
http_req_failed,1786861850,0.000000,,,,true,,POST,login,HTTP/1.1,default,,200,,,login,,
checks,1786861850,1.000000,login: status 200,,,,,,,,default,,,,,,,
checks,1786861850,1.000000,login: token present,,,,,,,,default,,,,,,,
http_reqs,1786861850,1.000000,,,,true,,POST,cart,HTTP/1.1,default,,200,,,cart,,
http_req_duration,1786861850,2.753000,,,,true,,POST,cart,HTTP/1.1,default,,200,,,cart,,
http_req_blocked,1786861850,0.009000,,,,true,,POST,cart,HTTP/1.1,default,,200,,,cart,,
http_req_connecting,1786861850,0.000000,,,,true,,POST,cart,HTTP/1.1,default,,200,,,cart,,
http_req_tls_handshaking,1786861850,0.000000,,,,true,,POST,cart,HTTP/1.1,default,,200,,,cart,,
http_req_sending,1786861850,0.044000,,,,true,,POST,cart,HTTP/1.1,default,,200,,,cart,,
http_req_waiting,1786861850,2.632000,,,,true,,POST,cart,HTTP/1.1,default,,200,,,cart,,
http_req_receiving,1786861850,0.077000,,,,true,,POST,cart,HTTP/1.1,default,,200,,,cart,,
http_req_failed,1786861850,0.000000,,,,true,,POST,cart,HTTP/1.1,default,,200,,,cart,,
checks,1786861850,1.000000,cart: status 200,,,,,,,,default,,,,,,,
vus,1786861850,2.000000,,,,,,,,,,,,,,,,
vus_max,1786861850,200.000000,,,,,,,,,,,,,,,,
http_reqs,1786861851,1.000000,,,,true,,POST,checkout,HTTP/1.1,default,,200,,,checkout,,
http_req_duration,1786861851,16.261000,,,,true,,POST,checkout,HTTP/1.1,default,,200,,,checkout,,
http_req_blocked,1786861851,0.004000,,,,true,,POST,checkout,HTTP/1.1,default,,200,,,checkout,,
http_req_connecting,1786861851,0.000000,,,,true,,POST,checkout,HTTP/1.1,default,,200,,,checkout,,
http_req_tls_handshaking,1786861851,0.000000,,,,true,,POST,checkout,HTTP/1.1,default,,200,,,checkout,,
http_req_sending,1786861851,0.019000,,,,true,,POST,checkout,HTTP/1.1,default,,200,,,checkout,,
http_req_waiting,1786861851,16.210000,,,,true,,POST,checkout,HTTP/1.1,default,,200,,,checkout,,
http_req_receiving,1786861851,0.032000,,,,true,,POST,checkout,HTTP/1.1,default,,200,,,checkout,,
http_req_failed,1786861851,0.000000,,,,true,,POST,checkout,HTTP/1.1,default,,200,,,checkout,,
checks,1786861851,1.000000,checkout: status 200,,,,,,,,default,,,,,,,
checks,1786861851,0.000000,checkout: order_id present,,,,,,,,default,,,,,,,
data_sent,1786861851,926.000000,,,,,,,,,default,,,,,,,
data_received,1786861851,1312.000000,,,,,,,,,default,,,,,,,
iteration_duration,1786861851,1775.369584,,,,,,,,,default,,,,,,,
iterations,1786861851,1.000000,,,,,,,,,default,,,,,,,
http_reqs,1786861851,1.000000,,,,true,,POST,login,HTTP/1.1,default,,200,,,login,,
http_req_duration,1786861851,2.646000,,,,true,,POST,login,HTTP/1.1,default,,200,,,login,,
http_req_blocked,1786861851,0.002000,,,,true,,POST,login,HTTP/1.1,default,,200,,,login,,
http_req_connecting,1786861851,0.000000,,,,true,,POST,login,HTTP/1.1,default,,200,,,login,,
http_req_tls_handshaking,1786861851,0.000000,,,,true,,POST,login,HTTP/1.1,default,,200,,,login,,
http_req_sending,1786861851,0.015000,,,,true,,POST,login,HTTP/1.1,default,,200,,,login,,
http_req_waiting,1786861851,2.601000,,,,true,,POST,login,HTTP/1.1,default,,200,,,login,,
